device_id;counter;user_id
1;3395;1
2;8618;1
3;8895;1
4;7361;1
5;9548;1
6;3276;1
7;6415;1
8;2369;1
9;5557;1
10;8563;1
11;7938;1
12;7571;1
13;4077;1
14;11112;1
15;10120;1
16;6730;1
17;10853;1
18;4030;1
19;5836;1
20;10011;1
21;2709;1
22;7854;1
23;7143;1
24;3713;1
25;5686;1
26;8524;1
27;6790;1
28;4596;1
29;3578;1
30;10175;1
31;7485;1
32;5394;1
33;5723;1
34;11209;1
35;6704;1
36;4820;1
37;11258;1
38;6815;1
39;4625;1
40;8251;1
41;5995;1
42;9406;1
43;9901;1
44;7800;1
45;8399;1
46;9524;1
47;5144;1
48;8532;1
49;8674;1
50;3671;1
51;7597;1
52;10455;1
53;5868;1
54;2933;1
55;10143;1
56;9889;1
57;8886;1
58;2817;1
59;4695;1
60;8284;1
61;4852;1
62;2946;1
63;10237;1
64;10601;1
65;8108;1
66;8373;1
67;9805;1
68;5656;1
69;5489;1
70;4457;1
71;2995;1
72;7431;1
73;4161;1
74;6691;1
75;3966;1
76;5488;1
77;9874;1
78;5011;1
79;6578;1
80;8722;1
81;3862;1
82;2354;1
83;8168;1
84;11733;1
85;5730;1
86;9542;1
87;10492;1
88;11055;1
89;10550;1
90;5756;1
91;4746;1
92;4028;1
93;2940;1
94;11212;1
95;8364;1
96;8409;1
97;11187;1
98;4940;1
99;5636;1
100;8027;1
101;11114;1
102;4377;1
103;11511;1
104;2722;1
105;4657;1
106;8837;1
107;10189;1
108;11755;1
109;4085;1
110;6486;1
111;5475;1
112;11517;1
113;12776;1
114;4652;1
115;7521;1
116;6947;1
117;8526;1
118;6625;1
119;10226;1
120;7836;1
121;8965;1
122;12042;1
123;5076;1
124;2713;1
125;11932;1
126;6398;1
127;8417;1
128;7383;1
129;7013;1
130;10412;1
131;11660;1
132;9996;1
133;3107;1
134;6012;1
135;6940;1
136;8158;1
137;12073;1
138;7616;1
139;7823;1
140;10372;1
141;5699;1
142;10357;1
143;6590;1
144;7667;1
145;3352;1
146;10225;1
147;11972;1
148;6456;1
149;4366;1
150;10650;1
151;10840;1
152;7005;1
153;7647;1
154;5132;1
155;10757;1
156;4684;1
157;10124;1
158;6792;1
159;7296;1
160;8961;1
161;6089;1
162;9487;1
163;2537;1
164;5081;1
165;8765;1
166;4093;1
167;6657;1
168;5000;1
169;7720;1
170;3099;1
171;9156;1
172;2359;1
173;8269;1
174;10786;1
175;7412;1
176;10123;1
177;4410;1
178;6860;1
179;4205;1
180;6034;1
181;4004;1
182;9605;1
183;6689;1
184;11109;1
185;4939;1
186;3365;1
187;10505;1
188;8288;1
189;5379;1
190;4044;1
191;4713;1
192;6836;1
193;6917;1
194;8411;1
195;11966;1
196;9939;1
197;7828;1
198;5680;1
199;4170;1
200;6494;1
201;11709;1
202;5676;1
203;9518;1
204;7458;1
205;6724;1
206;3426;1
207;4424;1
208;3133;1
209;9243;1
210;8693;1
211;9611;1
212;12009;1
213;11442;1
214;7606;1
215;6518;1
216;11079;1
217;5762;1
218;7190;1
219;4282;1
220;3868;1
221;6219;1
222;6138;1
223;9009;1
224;7070;1
225;4891;1
226;4016;1
227;2481;1
228;5360;1
229;10626;1
230;10344;1
231;7712;1
232;4197;1
233;6774;1
234;5287;1
235;5565;1
236;11055;1
237;10008;1
238;8132;1
239;4042;1
240;6869;1
241;5914;1
242;2642;1
243;9045;1
244;5911;1
245;11725;1
246;4679;1
247;6991;1
248;9667;1
249;6314;1
250;11257;1
